title,source,date,url,category,thumbnail
French Open final LIVE! Andreeva takes on shock qualifier Chwalinska,Sky Sports,2026-06-06 13:30:00,https://www.skysports.com/tennis/live-blog/12040/13551116/french-open-final-live-score-results-game-by-game-updates-as-mirra-andreeva-takes-on-qualifier-maja-chwalinska-at-roland-garros,qualifiers,
Bolivia vs Scotland: Clarke previews final World Cup warm-up game,Sky Sports,2026-06-06 12:15:00,https://www.skysports.com/football/bolivia-vs-scotland/live/555767,match_reports,
Lightning halts pre-World Cup friendly in Texas for two hours,BBC Sport,2026-06-06 10:56:09,https://www.bbc.com/sport/football/articles/c5yz3p6vjd1o?at_medium=RSS&at_campaign=rss,match_reports,https://ichef.bbci.co.uk/ace/standard/240/cpsprodpb/0a4a/live/b7dd7e80-618f-11f1-b927-d7e60ed16f70.jpg
The pioneer in an unlikely World Cup team,BBC Sport,2026-06-06 06:11:06,https://www.bbc.com/sport/football/articles/cn4p4jw7pzko?at_medium=RSS&at_campaign=rss,other,https://ichef.bbci.co.uk/ace/standard/240/cpsprodpb/fd9e/live/367c0230-60e5-11f1-82ca-1380a42b6773.jpg
Which World Cup team are you? Take our quiz,BBC Sport,2026-06-06 06:52:15,https://www.bbc.com/sport/football/articles/ckgpy79y53eo?at_medium=RSS&at_campaign=rss,match_reports,https://ichef.bbci.co.uk/ace/standard/240/cpsprodpb/0dbf/live/1d79ba80-4eb5-11f1-ac78-2112837ce2aa.png
Iran says staff blocked from entering US after players given World Cup visas,BBC Sport,2026-06-06 11:56:25,https://www.bbc.com/news/articles/cy8286nqz87o?at_medium=RSS&at_campaign=rss,other,https://ichef.bbci.co.uk/ace/standard/240/cpsprodpb/de59/live/4501e9e0-614f-11f1-89a3-d1f559421220.jpg
Paraguay star Enciso injured in World Cup warm-up,BBC Sport,2026-06-06 13:04:53,https://www.bbc.com/sport/football/articles/cq812vlx992o?at_medium=RSS&at_campaign=rss,match_reports,https://ichef.bbci.co.uk/ace/standard/240/cpsprodpb/7a36/live/fb50dd20-6198-11f1-80e4-07386a28f8fd.jpg
The story of Norway's Viking World Cup photoshoot,BBC Sport,2026-06-05 13:52:59,https://www.bbc.com/sport/football/articles/cjdpd18xx5lo?at_medium=RSS&at_campaign=rss,other,https://ichef.bbci.co.uk/ace/standard/240/cpsprodpb/4d64/live/cd846d50-60d3-11f1-b808-9f0a293e0062.jpg
'The things that forge them are similar' - the origins of Messi & Ronaldo,BBC Sport,2026-06-06 05:10:22,https://www.bbc.com/sport/football/videos/c9363yer2deo?at_medium=RSS&at_campaign=rss,other,https://ichef.bbci.co.uk/ace/standard/240/cpsprodpb/9e24/live/2d9437d0-6029-11f1-89a3-d1f559421220.jpg
Messi or Ronaldo - who is the greatest of all time?,BBC Sport,2026-06-05 05:18:06,https://www.bbc.com/sport/football/videos/c3v2gg2ldr5o?at_medium=RSS&at_campaign=rss,match_reports,https://ichef.bbci.co.uk/ace/standard/240/cpsprodpb/d050/live/82cae000-6006-11f1-88e1-8920f3bb90a6.jpg
